Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
SLPI,Secretory Leukocyte Peptidase Inhibitor,Protein Coding,P03973,53,GC20M045252,18.41285133,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLPI
PYY,Peptide YY,Protein Coding,P10082,56,GC17M043952,18.41164017,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYY
PNPLA3,"Patatin Like Domain 3, 1-Acylglycerol-3-Phosphate O-Acyltransferase ",Protein Coding,Q9NST1,54,GC22P043923,18.37483025,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA3
RPL36A-HNRNPH2,RPL36A-HNRNPH2 Readthrough,Protein Coding,,25,GC0XP101423,18.15189171,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL36A-HNRNPH2
PNLIP,Pancreatic Lipase,Protein Coding,P16233,60,GC10P116545,18.04092598,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNLIP
SCT,Secretin,Protein Coding,P09683,47,GC11M000626,18.03077698,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCT
AKAP1,A-Kinase Anchoring Protein 1,Protein Coding,Q92667,54,GC17P057085,17.92170525,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKAP1
MSMB,Microseminoprotein Beta,Protein Coding,P08118,52,GC10M046033,17.29106712,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSMB
RNPC3,"RNA Binding Region (RNP1, RRM) Containing 3",Protein Coding,Q96LT9,47,GC01P103525,17.06500244,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNPC3
FCGRT,Fc Gamma Receptor And Transporter,Protein Coding,P55899,56,GC19P049506,16.87586594,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGRT
YY1AP1,YY1 Associated Protein 1,Protein Coding,Q9H869,50,GC01M155659,16.49137497,https://www.genecards.org/cgi-bin/carddisp.pl?gene=YY1AP1
LOC110806262,Solute Carrier Family 6 Member 4 Gene Promoter,Functional Element,,9,GC17P030235,16.18270683,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110806262
IGKC,Immunoglobulin Kappa Constant,Protein Coding,P01834,42,GC02M092913,15.70635128,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGKC
BMP5,Bone Morphogenetic Protein 5,Protein Coding,P22003,55,GC06M055753,15.45274448,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP5
LRPAP1,LDL Receptor Related Protein Associated Protein 1,Protein Coding,P30533,56,GC04M006361,15.42848778,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRPAP1
PRKAR2B,Protein Kinase CAMP-Dependent Type II Regulatory Subunit Beta,Protein Coding,P31323,55,GC07P107044,15.38149261,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR2B
ACLY,ATP Citrate Lyase,Protein Coding,P53396,59,GC17M041866,15.31077385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACLY
GLO1,Glyoxalase I,Protein Coding,Q04760,57,GC06M106643,15.21028328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLO1
GCNT2,Glucosaminyl (N-Acetyl) Transferase 2 (I Blood Group),Protein Coding,Q8N0V5,57,GC06P010492,15.09308052,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCNT2
ACP3,Acid Phosphatase 3,Protein Coding,P15309,55,GC03P143221,15.09111023,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACP3
MYBL1,MYB Proto-Oncogene Like 1,Protein Coding,P10243,51,GC08M066562,14.61142159,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYBL1
TRP-AGG2-5,TRNA-Pro (Anticodon AGG) 2-5,RNA Gene,,18,GC14M028662,14.2828207,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRP-AGG2-5
LINC00472,Long Intergenic Non-Protein Coding RNA 472,RNA Gene,Q9H8W2,36,GC06M109695,13.9988966,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC00472
AMD1,Adenosylmethionine Decarboxylase 1,Protein Coding,P17707,53,GC06P110814,13.83674812,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMD1
GYG2,Glycogenin 2,Protein Coding,O15488,51,GC0XP002828,13.77985382,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GYG2
TFPT,TCF3 Fusion Partner,Protein Coding,P0C1Z6,45,GC19M054107,13.75406742,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFPT
PRKAR2A,Protein Kinase CAMP-Dependent Type II Regulatory Subunit Alpha,Protein Coding,P13861,54,GC03M048744,13.71779346,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKAR2A
FAS-AS1,FAS Antisense RNA 1,RNA Gene,,21,GC10M088991,13.67435455,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS-AS1
GLRX,Glutaredoxin,Protein Coding,P35754,56,GC05M095752,13.51970291,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLRX
ABI1,Abl Interactor 1,Protein Coding,Q8IZP0,56,GC10M026746,12.74907684,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABI1
RNASE1,"Ribonuclease A Family Member 1, Pancreatic",Protein Coding,P07998,55,GC14M020801,12.65900612,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASE1
TREH,Trehalase,Protein Coding,O43280,55,GC11M118657,12.3802948,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREH
GGH,Gamma-Glutamyl Hydrolase,Protein Coding,Q92820,55,GC08M063014,12.2103138,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GGH
CGB7,Chorionic Gonadotropin Subunit Beta 7,Protein Coding,P0DN87,41,GC19M049054,11.92709351,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGB7
LINC01234,Long Intergenic Non-Protein Coding RNA 1234,RNA Gene,,25,GC12M113584,11.74523544,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01234
HTN3,Histatin 3,Protein Coding,P15516,44,GC04P070028,11.59555626,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTN3
HRH3,Histamine Receptor H3,Protein Coding,Q9Y5N1,54,GC20M062214,11.53695488,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH3
MUC7,"Mucin 7, Secreted",Protein Coding,Q8TAX7,47,GC04P070430,11.50767517,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC7
APEH,Acylaminoacyl-Peptide Hydrolase,Protein Coding,P13798,51,GC03P049673,11.46191025,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APEH
PYGB,Glycogen Phosphorylase B,Protein Coding,P11216,55,GC20P025248,11.42091751,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGB
LALBA,Lactalbumin Alpha,Protein Coding,P00709,51,GC12M048567,11.40212154,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LALBA
PSG2,Pregnancy Specific Beta-1-Glycoprotein 2,Protein Coding,P11465,47,GC19M043064,11.27208805,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSG2
ANXA4,Annexin A4,Protein Coding,P09525,51,GC02P069664,10.65391159,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA4
PPA1,Inorganic Pyrophosphatase 1,Protein Coding,Q15181,52,GC10M070202,10.63889599,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPA1
MYCBP,MYC Binding Protein,Protein Coding,Q99417,45,GC01M038862,10.54517841,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCBP
CA6,Carbonic Anhydrase 6,Protein Coding,P23280,54,GC01P008945,10.2042017,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA6
GP2,Glycoprotein 2,Protein Coding,P55259,52,GC16M020309,9.962760925,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GP2
CFAP91,Cilia And Flagella Associated Protein 91,Protein Coding,Q7Z4T9,44,GC03P119705,9.789655685,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFAP91
HCRTR1,Hypocretin Receptor 1,Protein Coding,O43613,55,GC01P031617,9.669763565,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRTR1
LCN1,Lipocalin 1,Protein Coding,P31025,51,GC09P135521,9.624855042,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCN1
CEBPZ,CCAAT Enhancer Binding Protein Zeta,Protein Coding,Q03701,48,GC02M037201,9.498129845,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEBPZ
CTRB1,Chymotrypsinogen B1,Protein Coding,P17538,51,GC16P075218,9.380237579,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTRB1
RAB27B,"RAB27B, Member RAS Oncogene Family",Protein Coding,O00194,50,GC18P054717,9.177557945,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAB27B
CLPS,Colipase,Protein Coding,P04118,51,GC06M106629,8.806352615,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLPS
LIPF,"Lipase F, Gastric Type",Protein Coding,P07098,54,GC10P088664,8.776054382,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPF
STATH,Statherin,Protein Coding,P02808,41,GC04P069995,8.694547653,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STATH
HCRTR2,Hypocretin Receptor 2,Protein Coding,O43614,57,GC06P055106,8.379678726,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCRTR2
CNDP2,Carnosine Dipeptidase 2,Protein Coding,Q96KP4,54,GC18P074495,8.07507515,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNDP2
FABP12,Fatty Acid Binding Protein 12,Protein Coding,A6NFH5,44,GC08M081524,7.983444691,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP12
HTN1,Histatin 1,Protein Coding,P15515,44,GC04P070117,7.820418835,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTN1
SH2D4B,SH2 Domain Containing 4B,Protein Coding,Q5SQS7,40,GC10P123927,7.711724758,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SH2D4B
PRH1,Proline Rich Protein HaeIII Subfamily 1,Protein Coding,P02810,40,GC12M010824,6.895445347,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRH1
IGES,"Immunoglobulin E Concentration, Serum",Genetic Locus,,11,GC05U990033,6.541219711,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGES
CST1,Cystatin SN,Protein Coding,P01037,44,GC20M024209,5.253901005,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CST1
MYCBPAP,MYCBP Associated Protein,Protein Coding,Q8TBZ2,40,GC17P155144,5.20038271,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYCBPAP
PRAP1,Proline Rich Acidic Protein 1,Protein Coding,Q96NZ9,40,GC10P133347,4.633138657,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRAP1
PRH1-PRR4,PRH1-PRR4 Readthrough,RNA Gene,,10,GC12M035810,4.280013084,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRH1-PRR4
PRB3,Proline Rich Protein BstNI Subfamily 3,Protein Coding,Q04118,36,GC12M011265,3.740058899,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRB3
USP2-AS1,USP2 Antisense RNA 1,RNA Gene,,20,GC11P125238,3.496592999,https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP2-AS1
IDH1-AS1,IDH1 Antisense RNA 1,RNA Gene,,14,GC02P208308,3.160305262,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IDH1-AS1
ODC1-DT,ODC1 Divergent Transcript,RNA Gene,,15,GC02P010658,2.454416752,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ODC1-DT
